path fail: common snapping turtle,134,70,155 -> 137,72,156: Id #610:Path Goal Marauder Mill:Station Marauder Mill at 137,72,156
Impoverished Word Selector
removed erroneous unit occupancy flag
removed erroneous unit occupancy flag
removed erroneous unit occupancy flag
removed erroneous unit occupancy flag
removed erroneous unit occupancy flag
removed erroneous unit occupancy flag
DOUBLE TAGGED ITEM: Store Item in Stockpile, microcline
DOUBLE TAGGED ITEM: Store Item in Stockpile, marble
path fail: dwarf,Construct Building,14,18,161 -> 13,18,160: Id #1913:Path Goal Main Job Building:Station Mill Building at 20,3,160
path fail: dwarf,Construct Building,21,20,160 -> 8,15,160: Id #1939:Path Goal Main Job Building:Station Mill Building at 24,2,160
path fail: dwarf,Construct Building,21,20,160 -> 8,17,160: Id #1926:Path Goal Main Job Building:Station Mill Building at 22,3,160
path fail: dwarf,Construct Building,14,18,161 -> 9,17,160: Id #1934:Path Goal Main Job Building:Station Mill Building at 25,4,160
path fail: dwarf,Construct Building,30,17,160 -> 32,24,161: Id #1934:Path Goal Main Job Building:Station Mill Building at 25,5,160
path fail: dwarf,18,39,156 -> 22,2,160: Id #2114:Path Goal Seek Station:Station Mill Building at 22,3,160
path fail: dwarf,18,39,156 -> 27,22,160: Id #2114:Path Goal Flee Terrain:Station Mill Building at 22,3,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
path fail: dwarf,22,20,159 -> 23,14,161: Id #1931:Path Goal Archery Training Site:Station Mill Building at 26,2,160
