Civilized World Population

	13 Dwarves
	22 Humans
	36157 Goblins
	428 Kobolds

	Total: 36620

Sites

1: Uquurusan, "Peakedheart", cave
	Owner: Gorbis, kobolds
	Parent Civ: Pubomis, kobolds
	97 kobolds
2: Dakonamas Zakgol Geb, "Omendepths the Spite of Denting", cave
	Owner: Krobojlorer, kobolds
	Parent Civ: Shrutleelgus, kobolds
	95 kobolds
3: Mupfubag Spibsauta, "Juicesewer the Tangled Pit", cave
	Owner: Sibus, kobolds
	Parent Civ: Stleerus, kobolds
	1 plump helmet man
	2 gorlaks
	210 kobolds
4: Sladasedme, "Relievemurk", cave
	5 large rats
	340 bats
	301 cave swallows
5: éstîl£n, "Cavesaints", fortress
	1 forgotten beast
	1 goblin
6: Ebkakupek, "Joyleap", hamlet
7: Aslotkedusm, "Hexeagle", dark fortress
	Owner: The Ruined Monsters, goblins
	Parent Civ: The Dungeons of Sinew, goblins
	lord: Olngî Plaguebuds, goblin
	8318 goblins
	1 human
	1 bear devil
	2052 trolls
	2052 beak dogs
	1 goblin outcast
8: NamalÜth, "Destinedbolts", fortress
	1 forgotten beast
9: Azstrogugok, "Devilrained", dark fortress
	Owner: The Oaken Cruelty, goblins
	Parent Civ: The Wickedness of Law, goblins
	lady: Atu Menaceknights, goblin
	9421 goblins
	1 cobalt fiend
	2327 trolls
	2327 beak dogs
10: Esemabuth, "Freshgarnished", town
	Owner: The Green Council, humans
	Parent Civ: The Handy Empires, humans
	lord: Sothbod Taperedunite, goblin
	7776 goblins
	1 human
	2 dogs
	2 cats
	2 mules
	2 donkeys
	15 horses
	2 cows
	2 sheep
	2 pigs
	2 goats
	2 chickens
	2 cavies
	3 ducks
	2 water buffalos
	2 reindeer
	2 geese
	2 yaks
	2 llamas
	2 alpacas
	3 guineafowls
	2 blue peafowls
	2 turkeys
	2 rabbits
	9 cave fish man outcasts
	185 goblin outcasts
	23 serpent man outcasts
	13 olm man outcasts
	18 reptile man outcasts
	1 troll outcast
	1 cave dragon outcast
	3 dwarf outcasts
	1 troll of evil outcast
	14 human outcasts
	12 kobold outcasts
11: Titthalåton, "Playedhall", fortress
	Owner: The Fleshy Midnight, goblins
	Parent Civ: The Dungeons of Sinew, goblins
	administrator: Utes Clutchbad, goblin
	130 goblins
	18 dogs
	20 cats
	2 mules
	2 donkeys
	25 horses
	2 cows
	2 sheep
	2 pigs
	2 goats
	2 chickens
	2 cavies
	2 ducks
	2 water buffalos
	2 reindeer
	2 geese
	3 yaks
	2 llamas
	2 alpacas
	7 guineafowls
	2 blue peafowls
	11 turkeys
	2 rabbits
12: Gavaliclo, "Chapelscoured", hamlet
	Owner: The Society of Lights, humans
	Parent Civ: The Handy Empires, humans
	50 goblins
	11 dogs
	14 cats
	2 mules
	2 donkeys
	50 horses
	2 cows
	2 sheep
	2 pigs
	2 goats
	5 chickens
	2 cavies
	2 ducks
	2 water buffalos
	2 reindeer
	2 geese
	2 yaks
	2 llamas
	2 alpacas
	4 guineafowls
	8 blue peafowls
	2 turkeys
	2 rabbits
13: Spangazstrog, "Humiddevil", dark fortress
	Owner: The Tangled Malice, goblins
	Parent Civ: The Belted Terrors, goblins
	lady: Xuspgas Owldoom, goblin
	10005 goblins
	1 gray brute
	2502 trolls
	2502 beak dogs
14: Zalçsgemur, "Wardedprestige", vault
	Owner: The Bronze Hips, 
	25 Valorous Enforcers
	50 Puppets of Clashheal
	1 Valorous Harbinger
15: Zoluthubbul, "Combatvault", vault
	Owner: The Crested Warrior, 
	25 Valorous Enforcers
	50 Puppets of Clashheal
	1 Valorous Harbinger
16: Leroino, "Fencedguards", vault
	Owner: The Clutch of Purity, 
	25 Valorous Enforcers
	50 Puppets of Clashheal
	1 Valorous Harbinger
17: Strodnosmumu, "Scorpionstroked", dark pits
	Owner: The Hate of Strikes, goblins
	Parent Civ: The Wickedness of Law, goblins
	lord: Estrur Brushedmenace, goblin
	30 goblins
18: Bendica§i, "Tributesmiled", tomb
	Owner: The Neutral Tongs, dwarves
	Parent Civ: The Admired Whip, dwarves
19: Thakomlasod, "Mountainrout", tomb
	Owner: The Band of Girders, humans
	Parent Civ: The Unions of Drilling, humans
20: ñsbuxosun, "Evilspurted", camp
	Owner: The Contingent Evils, goblins
	23 goblins
21: Ngerxungdusnu, "Wickedbusts", camp
	Owner: The Grim Poisons, goblins
	23 goblins
22: Lalalobis, "Lalalobis", camp
	Owner: Pubulukromer, kobolds
	8 kobolds
23: Uksoszastrur, "Stolenhag", camp
	Owner: The Immoral Corridors, goblins
	21 goblins
24: Onaitke, "Plantedclustered", camp
	Owner: The Crazed Alchemies, humans
	6 goblins
	1 human
25: Etheraäna Anaraanice, "Scalddeep the Jade Turquoise", lair
	2 goblins
26: Vaficenimo, "Drinkpits", lair
	1 goblin
27: Gor Miroth, "The Pit of Denominations", lair
	1 goblin
28: Dusmxuslîmod, "The Fat Pits", lair
	1 goblin
29: OseÑb Tostgud Zusmob, "Curlshafts the Pool of Clods", lair
	1 goblin
30: Fensast Kafit, "The Scar of Pines", lair
	1 goblin
31: Cecicaomethu, "The Stunted Hollow", lair
	1 goblin
32: Sagamngethac, "Creptcave", lair
	1 goblin
